target_present,key,is_correct,rt,task,level,trial,id,pool
1,right,1,1.1878,ST,medium,16,gI6hCgCchT,pool2
0,left,1,2.7605,ST,easy,1,kGWL9y5AS9,pool2
0,left,1,2.6161,ST,easy,2,kGWL9y5AS9,pool2
1,right,1,1.6495,ST,easy,3,kGWL9y5AS9,pool2
1,right,1,1.681,ST,easy,4,kGWL9y5AS9,pool2
0,left,1,1.5674,ST,easy,5,kGWL9y5AS9,pool2
0,left,1,1.6995,ST,easy,6,kGWL9y5AS9,pool2
0,left,1,2.7999,ST,easy,7,kGWL9y5AS9,pool2
1,right,1,1.5915,ST,easy,8,kGWL9y5AS9,pool2
0,left,1,2.2665,ST,easy,9,kGWL9y5AS9,pool2
0,left,1,2.354,ST,easy,10,kGWL9y5AS9,pool2
0,left,1,2.7489,ST,easy,11,kGWL9y5AS9,pool2
0,left,1,2.3167,ST,easy,12,kGWL9y5AS9,pool2
1,right,1,1.6663,ST,easy,13,kGWL9y5AS9,pool2
1,right,1,3.0996,ST,easy,14,kGWL9y5AS9,pool2
1,left,0,1.9911,ST,easy,15,kGWL9y5AS9,pool2
1,right,1,1.7505,ST,easy,16,kGWL9y5AS9,pool2
1,right,1,5.8775,ST,hard,1,kGWL9y5AS9,pool2
0,left,1,6.6327,ST,hard,2,kGWL9y5AS9,pool2
0,left,1,7.5657,ST,hard,3,kGWL9y5AS9,pool2
0,left,1,6.3708,ST,hard,4,kGWL9y5AS9,pool2
0,left,1,6.3832,ST,hard,5,kGWL9y5AS9,pool2
1,right,1,3.7886,ST,hard,6,kGWL9y5AS9,pool2
1,right,1,3.919,ST,hard,7,kGWL9y5AS9,pool2
0,left,1,6.9322,ST,hard,8,kGWL9y5AS9,pool2
1,right,1,4.6989,ST,hard,9,kGWL9y5AS9,pool2
1,right,1,3.2329,ST,hard,10,kGWL9y5AS9,pool2
1,right,1,2.6704,ST,hard,11,kGWL9y5AS9,pool2
1,right,1,5.1665,ST,hard,12,kGWL9y5AS9,pool2
