trials,task,level,n,rt,acc,id
8,MS,hard,3,12.4385,0.42857142857142855,HF94YUUt2C
9,MS,easy,3,8.6255,1,HF94YUUt2C
9,MS,medium,5,13.3663,1,HF94YUUt2C
9,MS,hard,5,14.5491,0.7142857142857143,HF94YUUt2C
10,MS,easy,3,9.3411,1,HF94YUUt2C
10,MS,medium,5,17.113,1,HF94YUUt2C
10,MS,hard,5,13.6321,0.7142857142857143,HF94YUUt2C
11,MS,easy,3,7.8263,1,HF94YUUt2C
11,MS,medium,5,13.7038,1,HF94YUUt2C
11,MS,hard,6,18.8162,0.8571428571428571,HF94YUUt2C
12,MS,easy,3,9.2905,1,HF94YUUt2C
12,MS,medium,5,15.4852,1,HF94YUUt2C
12,MS,hard,6,21.5807,0.8571428571428571,HF94YUUt2C
13,MS,easy,3,9.453,1,HF94YUUt2C
13,MS,medium,5,17.5126,1,HF94YUUt2C
13,MS,hard,6,17.8838,0.8571428571428571,HF94YUUt2C
14,MS,easy,3,14.0704,1,HF94YUUt2C
14,MS,medium,5,14.0571,1,HF94YUUt2C
14,MS,hard,6,21.3763,0.8571428571428571,HF94YUUt2C
15,MS,easy,3,9.3126,1,HF94YUUt2C
15,MS,medium,5,13.4331,1,HF94YUUt2C
15,MS,hard,6,20.5653,0.8571428571428571,HF94YUUt2C
16,MS,easy,3,10.8014,1,HF94YUUt2C
16,MS,medium,5,15.5872,1,HF94YUUt2C
16,MS,hard,4,19.3867,0.5714285714285714,HF94YUUt2C
1,MS,easy,3,NA,1,z93bJWn4hw
1,MS,medium,4,NA,0.8,z93bJWn4hw
1,MS,hard,5,NA,0.7142857142857143,z93bJWn4hw
2,MS,easy,3,NA,1,z93bJWn4hw
2,MS,medium,5,NA,1,z93bJWn4hw
2,MS,hard,3,NA,0.42857142857142855,z93bJWn4hw
3,MS,easy,3,NA,1,z93bJWn4hw
3,MS,medium,5,NA,1,z93bJWn4hw
3,MS,hard,3,NA,0.42857142857142855,z93bJWn4hw
4,MS,easy,3,NA,1,z93bJWn4hw
4,MS,medium,5,NA,1,z93bJWn4hw
4,MS,hard,4,NA,0.5714285714285714,z93bJWn4hw
5,MS,easy,3,NA,1,z93bJWn4hw
5,MS,medium,5,NA,1,z93bJWn4hw
5,MS,hard,6,NA,0.8571428571428571,z93bJWn4hw
6,MS,easy,3,NA,1,z93bJWn4hw
6,MS,medium,5,NA,1,z93bJWn4hw
6,MS,hard,7,NA,1,z93bJWn4hw
7,MS,easy,3,NA,1,z93bJWn4hw
7,MS,medium,5,NA,1,z93bJWn4hw
7,MS,hard,4,NA,0.5714285714285714,z93bJWn4hw
8,MS,easy,3,NA,1,z93bJWn4hw
8,MS,medium,5,NA,1,z93bJWn4hw
8,MS,hard,5,NA,0.7142857142857143,z93bJWn4hw
9,MS,easy,3,NA,1,z93bJWn4hw
9,MS,medium,5,NA,1,z93bJWn4hw
9,MS,hard,6,NA,0.8571428571428571,z93bJWn4hw
10,MS,easy,3,NA,1,z93bJWn4hw
10,MS,medium,5,NA,1,z93bJWn4hw
10,MS,hard,6,NA,0.8571428571428571,z93bJWn4hw
11,MS,easy,3,NA,1,z93bJWn4hw
11,MS,medium,4,NA,0.8,z93bJWn4hw
11,MS,hard,5,NA,0.7142857142857143,z93bJWn4hw
12,MS,easy,3,NA,1,z93bJWn4hw
12,MS,medium,5,NA,1,z93bJWn4hw
12,MS,hard,5,NA,0.7142857142857143,z93bJWn4hw
13,MS,easy,3,NA,1,z93bJWn4hw
13,MS,medium,5,NA,1,z93bJWn4hw
13,MS,hard,6,NA,0.8571428571428571,z93bJWn4hw
14,MS,easy,3,NA,1,z93bJWn4hw
14,MS,medium,5,NA,1,z93bJWn4hw
