task,level,id,pool,scale,score
ST,medium,ntoLpzjCrW,pool2,TI,50
ST,medium,ntoLpzjCrW,pool2,PE,20
ST,medium,ntoLpzjCrW,pool2,EF,60
ST,medium,ntoLpzjCrW,pool2,FR,60
MS,hard,ntoLpzjCrW,pool2,ME,70
MS,hard,ntoLpzjCrW,pool2,PH,14
MS,hard,ntoLpzjCrW,pool2,TI,75
MS,hard,ntoLpzjCrW,pool2,PE,40
MS,hard,ntoLpzjCrW,pool2,EF,65
MS,hard,ntoLpzjCrW,pool2,FR,70
MR,hard,ntoLpzjCrW,pool2,ME,35
MR,hard,ntoLpzjCrW,pool2,PH,10
MR,hard,ntoLpzjCrW,pool2,TI,60
MR,hard,ntoLpzjCrW,pool2,PE,36
MR,hard,ntoLpzjCrW,pool2,EF,51
MR,hard,ntoLpzjCrW,pool2,FR,65
MS,easy,ntoLpzjCrW,pool2,ME,15
MS,easy,ntoLpzjCrW,pool2,PH,10
MS,easy,ntoLpzjCrW,pool2,TI,60
MS,easy,ntoLpzjCrW,pool2,PE,15
MS,easy,ntoLpzjCrW,pool2,EF,36
MS,easy,ntoLpzjCrW,pool2,FR,65
MR,easy,ntoLpzjCrW,pool2,ME,35
MR,easy,ntoLpzjCrW,pool2,PH,10
MR,easy,ntoLpzjCrW,pool2,TI,74
MR,easy,ntoLpzjCrW,pool2,PE,39
MR,easy,ntoLpzjCrW,pool2,EF,35
MR,easy,ntoLpzjCrW,pool2,FR,80
ST,easy,ntoLpzjCrW,pool2,ME,45
ST,easy,ntoLpzjCrW,pool2,PH,9
ST,easy,ntoLpzjCrW,pool2,TI,70
