task,level,id,scale,score
MS,hard,12zOSfawTO,TI,90
MS,hard,12zOSfawTO,PE,48
MS,hard,12zOSfawTO,EF,82
MS,hard,12zOSfawTO,FR,85
MR,easy,12zOSfawTO,ME,88
MR,easy,12zOSfawTO,PH,69
MR,easy,12zOSfawTO,TI,74
MR,easy,12zOSfawTO,PE,74
MR,easy,12zOSfawTO,EF,64
MR,easy,12zOSfawTO,FR,70
MS,easy,DVCsNitb7p,ME,0
MS,easy,DVCsNitb7p,PH,0
MS,easy,DVCsNitb7p,TI,0
MS,easy,DVCsNitb7p,PE,0
MS,easy,DVCsNitb7p,EF,0
MS,easy,DVCsNitb7p,FR,55
MR,medium,DVCsNitb7p,ME,75
MR,medium,DVCsNitb7p,PH,0
MR,medium,DVCsNitb7p,TI,0
MR,medium,DVCsNitb7p,PE,35
MR,medium,DVCsNitb7p,EF,100
MR,medium,DVCsNitb7p,FR,50
MS,hard,DVCsNitb7p,ME,99
MS,hard,DVCsNitb7p,PH,0
MS,hard,DVCsNitb7p,TI,60
MS,hard,DVCsNitb7p,PE,61
MS,hard,DVCsNitb7p,EF,99
MS,hard,DVCsNitb7p,FR,75
ST,easy,DVCsNitb7p,ME,0
ST,easy,DVCsNitb7p,PH,0
ST,easy,DVCsNitb7p,TI,15
ST,easy,DVCsNitb7p,PE,0
ST,easy,DVCsNitb7p,EF,30
ST,easy,DVCsNitb7p,FR,35
MR,hard,DVCsNitb7p,ME,85
MR,hard,DVCsNitb7p,PH,0
MR,hard,DVCsNitb7p,TI,1
MR,hard,DVCsNitb7p,PE,50
MR,hard,DVCsNitb7p,EF,75
MR,hard,DVCsNitb7p,FR,70
MS,medium,DVCsNitb7p,ME,60
MS,medium,DVCsNitb7p,PH,0
MS,medium,DVCsNitb7p,TI,45
MS,medium,DVCsNitb7p,PE,20
MS,medium,DVCsNitb7p,EF,90
MS,medium,DVCsNitb7p,FR,85
MR,easy,DVCsNitb7p,ME,20
MR,easy,DVCsNitb7p,PH,0
MR,easy,DVCsNitb7p,TI,0
MR,easy,DVCsNitb7p,PE,25
MR,easy,DVCsNitb7p,EF,10
MR,easy,DVCsNitb7p,FR,19
ST,hard,DVCsNitb7p,ME,100
ST,hard,DVCsNitb7p,PH,0
ST,hard,DVCsNitb7p,TI,100
